reseller_id,reseller_name,phone,city,state,tier,join_date,reseller_status
1,Reseller_0001,+918181241943,Meerut,Uttar Pradesh,Tier 3,2022-06-01 12:00:00,Active
2,Reseller_0002,+917440213415,Indore,Madhya Pradesh,Tier 2,2022-06-02 00:00:00,Active
3,Reseller_0003,+917373399426,Vijayawada,Andhra Pradesh,Tier 3,2022-06-02 12:00:00,Active
4,Reseller_0004,+917127978094,Jaipur,Rajasthan,Tier 2,2022-06-03 00:00:00,Active
5,Reseller_0005,+919170484433,Delhi,Delhi,Tier 1,2022-06-03 12:00:00,Active
6,Reseller_0006,+917854001193,Vijayawada,Andhra Pradesh,Tier 3,2022-06-04 00:00:00,Active
7,Reseller_0007,+919340505846,Mysore,Karnataka,Tier 3,2022-06-04 12:00:00,Churned
8,Reseller_0008,+919530876844,Coimbatore,Tamil Nadu,Tier 2,2022-06-05 00:00:00,Inactive
9,Reseller_0009,+917685731524,Jaipur,Rajasthan,Tier 2,2022-06-05 12:00:00,Active
10,Reseller_0010,+918193448329,Ranchi,Jharkhand,Tier 3,2022-06-06 00:00:00,Churned
11,Reseller_0011,+917438989805,Nagpur,Maharashtra,Tier 2,2022-06-06 12:00:00,Inactive
12,Reseller_0012,+918541804686,Mumbai,Maharashtra,Tier 1,2022-06-07 00:00:00,Active
13,Reseller_0013,+918136108454,Jodhpur,Rajasthan,Tier 3,2022-06-07 12:00:00,Active
14,Reseller_0014,+918973214822,Mysore,Karnataka,Tier 3,2022-06-08 00:00:00,Active
15,Reseller_0015,+917338444264,Vadodara,Gujarat,Tier 2,2022-06-08 12:00:00,Active
16,Reseller_0016,+919656522106,Kochi,Kerala,Tier 2,2022-06-09 00:00:00,Inactive
17,Reseller_0017,+919479708607,Ranchi,Jharkhand,Tier 3,2022-06-09 12:00:00,Inactive
18,Reseller_0018,+917196814233,Lucknow,Uttar Pradesh,Tier 2,2022-06-10 00:00:00,Active
19,Reseller_0019,+917342703921,Allahabad,Uttar Pradesh,Tier 3,2022-06-10 12:00:00,Churned
20,Reseller_0020,+918632629719,Rajkot,Gujarat,Tier 3,2022-06-11 00:00:00,Inactive
21,Reseller_0021,+918566942273,Kochi,Kerala,Tier 2,2022-06-11 12:00:00,Active
22,Reseller_0022,+917899825838,Nagpur,Maharashtra,Tier 2,2022-06-12 00:00:00,Churned
23,Reseller_0023,+919935814872,Mysore,Karnataka,Tier 3,2022-06-12 12:00:00,Churned
24,Reseller_0024,+919727210979,Jodhpur,Rajasthan,Tier 3,2022-06-13 00:00:00,Churned
25,Reseller_0025,+918051454923,Visakhapatnam,Andhra Pradesh,Tier 2,2022-06-13 12:00:00,Active
26,Reseller_0026,+918159417075,Vadodara,Gujarat,Tier 2,2022-06-14 00:00:00,Inactive
27,Reseller_0027,+919955633092,Raipur,Chhattisgarh,Tier 3,2022-06-14 12:00:00,Active
28,Reseller_0028,+918392783743,Kochi,Kerala,Tier 2,2022-06-15 00:00:00,Inactive
29,Reseller_0029,+917983753977,Meerut,Uttar Pradesh,Tier 3,2022-06-15 12:00:00,Churned
30,Reseller_0030,+918722989659,Ranchi,Jharkhand,Tier 3,2022-06-16 00:00:00,Inactive
31,Reseller_0031,+919436019774,Bhopal,Madhya Pradesh,Tier 2,2022-06-16 12:00:00,Inactive
32,Reseller_0032,+917913224047,Ranchi,Jharkhand,Tier 3,2022-06-17 00:00:00,Churned
